Product_Code,Product_Name,Location_ID,Wide,High,Deep,X_SIZE,Y_SIZE,Z_SIZE,Height,Width,Depth,Full_height,Full_width,Full_depth,Location
3700010778,DOWNY LQ CB 4/129Z 150LD,34,2,1,5,56.65 in,21.50 in,2.20 in,11.55 in,18.54 in,22.80 in,11.55 in,9.27 in,4.56 in,2
3700024155,DWY LFE INF 83LD REFRESH 56 oz,35,1,1,6,75.18 in,21.50 in,2.56 in,11.16 in,6.48 in,22.44 in,11.16 in,6.48 in,3.74 in,2
3700011762,DOWNY REFRESH 48 LOAD 32 oz,36,1,1,7,81.66 in,21.50 in,3.02 in,10.75 in,5.50 in,21.98 in,10.75 in,5.50 in,3.14 in,2
3700076335,DWY INF Botanical Mist 14.8 oz,37,1,1,6,87.16 in,21.50 in,3.04 in,10.12 in,3.84 in,21.96 in,10.12 in,3.84 in,3.66 in,2
3700091582,DOWNY SHT INF BOTANICAL MIST  9/105CT,38,1,1,10,91.00 in,21.50 in,1.00 in,7.09 in,4.47 in,24.00 in,7.09 in,4.47 in,2.40 in,2
3700072162,GAIN FE Island Fresh 174 LD,39,1,1,4,95.47 in,21.50 in,0.60 in,10.94 in,9.38 in,24.40 in,10.94 in,9.38 in,6.10 in,2
3700077754,GAIN LFE IF 4/129Z 150LD,40,1,1,5,104.85 in,21.50 in,2.20 in,11.96 in,9.27 in,22.80 in,11.96 in,9.27 in,4.56 in,2
3700086326,GAIN LFE BB 4/129Z 150LD,41,1,1,5,114.11 in,21.50 in,2.20 in,11.55 in,9.27 in,22.80 in,11.55 in,9.27 in,4.56 in,2
7261345719,SNGGL BLU SPRKL FAB SFTNR,42,1,1,4,123.38 in,21.50 in,3.08 in,10.48 in,7.68 in,21.92 in,10.48 in,7.68 in,5.48 in,2
7261345185,SNUGGLE BASE_LIQUID_BLUE SPARKLE_60 LOADS,43,2,1,8,131.06 in,21.50 in,0.12 in,10.43 in,13.12 in,24.88 in,10.43 in,6.56 in,3.11 in,2
3700035361,DOWNY LQ MS 4/129Z 150LD,1,1,1,6,0.00 in,7.00 in,0.64 in,11.55 in,9.16 in,27.36 in,11.55 in,9.16 in,4.56 in,1
3700029515,DOWNY LQ MS 4/90Z 105LD,2,2,1,5,9.16 in,7.00 in,3.00 in,10.87 in,14.17 in,25.00 in,10.87 in,7.08 in,5.00 in,1
3500039372,135 OZ SVTL LQ N-CON MRNG SN,3,2,1,5,23.33 in,7.00 in,1.05 in,12.50 in,15.45 in,26.95 in,12.50 in,7.72 in,5.39 in,1
3500039014,SUAVITEL LIQUID FABRIC SOFTENER MORNING,4,2,1,10,38.78 in,7.00 in,0.50 in,12.00 in,11.85 in,27.50 in,12.00 in,5.92 in,2.75 in,1
3500039371,SUAVITEL FABRIC SOFTENER FIELD FLOWERS 1,5,3,1,5,50.62 in,7.00 in,1.05 in,12.50 in,23.17 in,26.95 in,12.50 in,7.72 in,5.39 in,1
3500039013,SUAVITEL LIQUID FIELD FLOWER 50 OZ,6,2,1,10,73.79 in,7.00 in,0.50 in,12.00 in,11.85 in,27.50 in,12.00 in,5.92 in,2.75 in,1
3500039015,50 OZ SVTL LQ N-CON SL 003500039015,7,2,1,9,85.64 in,7.00 in,1.00 in,12.00 in,11.85 in,27.00 in,12.00 in,5.92 in,3.00 in,1
3500045022,SUAVITEL COMPLETE FF 120,8,2,1,5,97.49 in,7.00 in,0.75 in,12.30 in,16.15 in,27.25 in,12.30 in,8.07 in,5.45 in,1
3500039323,SUAV Complete FF 40,9,2,1,9,113.63 in,7.00 in,1.00 in,12.00 in,10.15 in,27.00 in,12.00 in,5.07 in,3.00 in,1
PL LFE 41oz,Private Label Fabric Softener,10,2,1,7,123.78 in,7.00 in,2.80 in,10.78 in,10.15 in,25.20 in,10.78 in,5.07 in,3.60 in,1
PL LFE 41ozx,Private Label Fabric Softener,11,2,1,7,133.93 in,7.00 in,2.80 in,10.78 in,10.15 in,25.20 in,10.78 in,5.07 in,3.60 in,1
3700076360,DWY UNSTPBLS FRSH 20.1 oz,148,3,1,6,144.00 in,69.50 in,3.04 in,10.91 in,11.12 in,21.96 in,10.91 in,3.71 in,3.66 in,16
3700052470,Downy Beads Infusions Calm Lavender & Vanilla Bean,149,1,1,6,155.12 in,69.50 in,3.04 in,10.91 in,3.71 in,21.96 in,10.91 in,3.71 in,3.66 in,16
3700052466,Downy Beads Infusions Bliss Sparkling Amber & Rose,150,1,1,6,158.82 in,69.50 in,3.04 in,10.91 in,3.71 in,21.96 in,10.91 in,3.71 in,3.66 in,16
3700052467,Downy Beads Infusions Refresh Birch Water & Botanicals,151,1,1,6,162.53 in,69.50 in,3.04 in,10.91 in,3.71 in,21.96 in,10.91 in,3.71 in,3.66 in,16
3077200401,Downy Beads Light White Lavender,152,1,1,6,166.23 in,69.50 in,3.04 in,10.91 in,3.71 in,21.96 in,10.91 in,3.71 in,3.66 in,16
3077200446,Downy Beads Ocean Mist,153,1,1,6,169.94 in,69.50 in,3.04 in,10.91 in,3.71 in,21.96 in,10.91 in,3.71 in,3.66 in,16
